name,social_security_number,gender,height,age,blood_type,company,grades,salary,expenditure,car_type
hkd244,780116-2,F,151.4,43,O,C,C,11810,10685,m
hkd245,770205-2,F,165,44,A,C,B,11990,10865,m
hkd246,760329-1,M,167.8,45,O,C,B,10530,9405,m
hkd247,000526-3,M,189.4,20,A,C,B,5540,4165,m
hkd248,910218-2,F,168.2,30,O,C,C,6580,5455,m
hkd249,960912-2,F,148.5,25,B,C,B,5540,4165,m
hkd25,750420-2,F,149.5,46,A,A,B,6770,5020,m
hkd250,860622-1,M,177.3,35,O,C,C,8050,6925,m
hkd26,740515-2,F,154.6,47,O,A,B,6480,4730,m
hkd27,730716-1,M,171.7,48,B,A,B,8520,6770,m
hkd28,720611-2,F,159.2,49,A,A,A,6680,5305,L
hkd29,730706-2,F,148.1,50,B,A,A,5800,4425,L
hkd3,970818-2,F,154.8,24,AB,A,B,4420,3045,m
hkd30,720801-1,M,179.1,51,AB,A,B,7950,6200,m
hkd31,710925-1,M,173,52,O,A,B,8720,6970,m
hkd32,701020-1,M,176.6,53,A,A,C,8220,7470,m
hkd33,691111-2,F,166.8,54,O,A,A,7520,5395,L
hkd34,681201-1,M,179.6,55,A,A,C,9430,8680,m
hkd35,910214-1,M,167.4,30,O,A,B,4580,2830,m
hkd36,900304-2,F,149.5,31,B,A,A,4670,2545,L
hkd37,890420-1,M,180.3,32,A,A,A,4760,2635,L
hkd38,880510-2,F,167.5,33,B,A,D,4610,3860,S
hkd39,870619-1,M,186.8,34,AB,A,B,5100,3350,m
hkd4,960909-1,M,177.6,25,O,A,B,4450,3075,m
hkd40,860618-1,M,177.9,35,O,A,A,5000,2875,L
hkd41,850115-2,F,152.7,36,A,A,C,4970,4220,m
hkd42,840718-1,M,191.5,37,O,A,B,5620,3870,m
hkd43,830809-1,M,175.1,38,A,A,C,5460,4335,m
hkd44,820905-1,M,168.1,39,O,A,B,5650,3900,m
hkd45,811022-1,M,182.1,40,B,A,C,5800,4675,m
hkd46,801117-1,M,186.1,41,A,A,D,6200,5450,S
hkd47,791216-1,M,189.3,42,B,A,D,6190,5440,S
hkd48,780113-1,M,184,43,AB,A,C,6530,5405,m
hkd49,770202-2,F,162.6,44,O,A,A,5120,2995,L
hkd5,951015-1,M,166.7,26,A,A,B,4550,3175,m
hkd50,760326-2,F,169.9,45,A,A,B,6020,4270,m
hkd51,750421-1,M,183.5,46,O,A,C,7530,6405,m
hkd52,740516-2,F,152.5,47,A,A,B,7540,6415,m
hkd53,730717-1,M,187.2,48,O,A,B,7630,6505,m
hkd54,720612-2,F,158.3,49,B,A,B,7200,6075,m
hkd55,730707-2,F,161,50,A,A,D,6860,6110,S
hkd56,720802-2,F,156.5,51,B,A,B,8040,6915,m
hkd57,710926-2,F,153.6,52,AB,A,B,7230,6105,m
hkd58,701021-1,M,188,53,O,A,B,8000,6875,m
hkd59,691112-1,M,174.2,54,A,A,B,8100,6975,m
hkd6,941105-2,F,156.3,27,O,A,F,4160,3785,SS
hkd60,681202-1,M,186,55,O,A,B,9440,8315,m
hkd61,811023-2,F,170.5,40,A,A,B,4750,3625,m
hkd62,801118-1,M,191.8,41,O,A,B,6190,5065,m
hkd63,791217-2,F,165.2,42,B,A,B,4620,3495,m
hkd64,780114-1,M,165.1,43,A,A,A,6370,4995,L
hkd65,770203-2,F,159,44,B,A,A,5590,4215,L
hkd66,760327-2,F,157.8,45,AB,A,A,5640,4265,L
hkd67,750422-1,M,175.3,46,O,A,B,7150,6025,m
hkd68,740517-1,M,176.2,47,A,A,A,8850,6725,L
hkd69,730718-1,M,175.5,48,O,A,B,7590,6465,m
hkd7,931225-1,M,189.4,28,A,A,A,4630,2505,L
hkd70,720613-2,F,156.1,49,A,A,C,6830,5705,m
hkd71,730708-1,M,173.7,50,O,A,C,7800,6675,m
hkd72,720803-1,M,183.2,51,B,A,A,8860,6735,L
hkd73,710927-1,M,165.1,52,A,A,A,9300,7175,L
hkd74,701022-2,F,155.5,53,B,A,B,8260,7135,m
hkd75,691113-1,M,178.5,54,AB,A,A,8730,6605,L
hkd76,681203-1,M,173.6,55,O,A,B,9120,7995,m
hkd77,730709-1,M,181.3,50,A,A,A,8870,6745,L
hkd78,720804-1,M,181.8,51,O,A,D,7830,7080,S
hkd79,710928-2,F,168.9,52,A,A,D,8110,7360,S
hkd8,920122-1,M,180,29,O,A,D,4570,3820,S
hkd80,701023-1,M,191.2,53,O,A,A,8800,6675,L
hkd81,691114-2,F,156,54,B,A,D,7650,6900,S
hkd82,681204-1,M,174,55,A,A,B,9310,7935,m
hkd83,830810-1,M,183.7,38,B,A,A,5450,3325,L
hkd84,820906-1,M,167.2,39,AB,A,F,5270,4770,S
hkd85,811024-2,F,165,40,O,A,A,4740,3365,L
hkd86,801119-2,F,151.3,41,A,A,A,5650,3525,L
hkd87,791218-2,F,164.4,42,O,A,B,4600,3225,m
hkd88,780115-2,F,150.6,43,A,A,B,5640,4265,m
hkd89,770204-1,M,184.3,44,O,A,B,6240,4865,m
hkd9,910213-1,M,168.3,30,B,A,B,4950,3200,m
hkd90,760328-1,M,172.4,45,B,A,A,7210,5835,L
hkd91,750423-1,M,170.7,46,A,A,F,6920,6420,S
hkd92,740518-2,F,170.8,47,B,A,B,6610,5235,m
hkd93,730719-1,M,180.4,48,AB,A,B,7560,6185,m
hkd94,720614-1,M,174.1,49,O,A,B,8540,7165,m
hkd95,730710-2,F,157.8,50,A,A,A,6990,4865,L
hkd96,720805-2,F,150.4,51,O,A,A,7110,4985,L
hkd97,710929-1,M,172.4,52,A,A,B,8000,6625,m
hkd98,701024-1,M,166.7,53,O,A,B,8760,7385,m
hkd99,691115-2,F,152.6,54,B,A,B,7470,6095,m
